trigger,trigger_kind,trigger_support,n_expected_diagnoses,top_expected_diagnosis,top_confidence
MED_VITAMIN_D,medication,45714,20,DX_9_4019,0.2242201513759461
MED_GABAPENTIN,medication,44797,17,DX_10_E785,0.2175368886309351
MED_LEVOTHYROXINE_SODIUM,medication,44035,19,DX_9_2449,0.3935960031792892
MED_AMLODIPINE,medication,41551,18,DX_10_E785,0.2790546557242906
MED_ALBUTEROL_0_083_NEB_SOLN,medication,40346,23,DX_9_4019,0.26302483517572994
MED_CALCIUM_GLUCONATE,medication,40172,23,DX_10_E785,0.22403664243751867
MED_TRAZODONE,medication,39913,18,DX_9_4019,0.2181494751083607
MED_METOPROLOL_SUCCINATE_XL,medication,39811,25,DX_10_E785,0.3255632865288488
MED_ACETAMINOPHEN_IV,medication,38041,16,DX_10_E785,0.25661785967771616
MED_INFLUENZA_VIRUS_VACCINE,medication,37980,15,DX_9_4019,0.3966824644549763
MED_CEFAZOLIN,medication,37777,10,DX_9_4019,0.22177515419435107
MED_CEFTRIAXONE,medication,36759,23,DX_10_E785,0.2508501319404772
MED_IBUPROFEN,medication,36477,3,DX_9_V270,0.197603969624695
MED_MILK_OF_MAGNESIA,medication,36196,8,DX_9_4019,0.2115427119018676
MED_FAMOTIDINE,medication,35443,12,DX_10_I10,0.2051462912281692
MED_NEUTRA_PHOS,medication,35260,19,DX_10_I10,0.2034600113442995
MED_HYDRALAZINE,medication,34456,17,DX_10_E785,0.263118179707453
MED_D5_1_2NS,medication,34324,10,DX_9_4019,0.2263722176902459
MED_SIMVASTATIN,medication,34252,20,DX_9_4019,0.3871306785005255
MED_SIMETHICONE,medication,33865,10,DX_9_V270,0.21045327033810718
MED_0_9_SODIUM_CHLORIDE_MINI_BAG_PLUS,medication,33065,20,DX_9_4019,0.23021321639195524
MED_NS,medication,32691,13,DX_9_4019,0.24483802881527025
MED_ALBUTEROL_INHALER,medication,32411,23,DX_10_E785,0.24602758322791646
MED_FOLIC_ACID,medication,32147,18,DX_9_4019,0.1943882788440601
MED_SW,medication,31737,14,DX_9_4019,0.28629044963292055
MED_WARFARIN,medication,31507,22,DX_9_42731,0.3730282159520107
MED_DIPHENHYDRAMINE,medication,31305,8,DX_9_4019,0.1938987382207315
MED_PREDNISONE,medication,31297,18,DX_9_4019,0.19113653065789052
MED_HEPARIN_SODIUM,medication,29989,24,DX_10_E785,0.2627963586648438
MED_KETOROLAC,medication,28286,8,DX_10_I10,0.156048928798699
MED_LIDOCAINE_5_PATCH,medication,28222,21,DX_10_E785,0.2704273261994189
MED_ENOXAPARIN_SODIUM,medication,26395,12,DX_9_4019,0.24417503315021785
MED_CIPROFLOXACIN_HCL,medication,26104,20,DX_9_4019,0.2599984676677904
MED_RAMELTEON,medication,26093,25,DX_10_E785,0.45303338060016096
MED_CLOPIDOGREL,medication,25956,25,DX_9_41401,0.32501155802126674
MED_MAGNESIUM_OXIDE,medication,25147,24,DX_10_E785,0.3060802481409313
MED_ISO_OSMOTIC_SODIUM_CHLORIDE,medication,24776,17,DX_10_E785,0.23147400710364868
MED_STERILE_WATER,medication,24692,25,DX_10_E785,0.26295966304876073
MED_CEFEPIME,medication,23925,25,DX_10_E785,0.22725182863113896
MED_PROCHLORPERAZINE,medication,23824,8,DX_9_4019,0.19266286098052385
MED_TAMSULOSIN,medication,23788,23,DX_10_E785,0.3001513368084749
MED_LACTULOSE,medication,23237,22,DX_10_E785,0.1834143822352283
MED_THIAMINE,medication,22867,21,DX_10_I10,0.19407880351598372
MED_METOCLOPRAMIDE,medication,22705,13,DX_9_4019,0.23488218454085003
MED_PNEUMOCOCCAL_VAC_POLYVALENT,medication,22310,18,DX_9_4019,0.5210219632451816
MED_PROPOFOL,medication,22178,25,DX_10_E785,0.2449724952655785
MED_FENTANYL_CITRATE,medication,22102,25,DX_10_E785,0.2523753506470003
MED_RANITIDINE,medication,22101,15,DX_9_4019,0.2885389801366454
MED_D5W,medication,21666,21,DX_9_4019,0.30462475768485187
MED_CHLORHEXIDINE_GLUCONATE_0_12_ORAL_RINSE,medication,20396,24,DX_9_4019,0.25755050009805847
MED_IPRATROPIUM_BROMIDE_NEB,medication,20356,24,DX_9_4019,0.33184319119669875
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5_1_2_NS,medication,20001,5,DX_9_4019,0.2865856707164642
MED_OXYCODONE_ACETAMINOPHEN,medication,19734,8,DX_9_4019,0.3176750785446438
MED_FERROUS_SULFATE,medication,19734,25,DX_9_4019,0.21673254281949933
MED_SOLN,medication,19625,25,DX_10_E785,0.20152866242038217
MED_ALUMINUM_MAGNESIUM_HYDROX_SIMETHICONE,medication,19596,11,DX_9_4019,0.2788324147785262
MED_HYDROCHLOROTHIAZIDE,medication,18258,11,DX_9_4019,0.4871289297842042
MED_ASPIRIN_EC,medication,17682,15,DX_9_4019,0.32145684877276326
MED_METRONIDAZOLE_FLAGYL,medication,17605,21,DX_9_4019,0.3487645555239989
MED_LR,medication,17475,10,DX_9_4019,0.3536480686695279
MED_PHENYLEPHRINE,medication,17147,25,DX_10_E785,0.27351723333527733
MED_PNEUMOCOCCAL_23_VALENT_POLYSACCHARIDE_VACCINE,medication,17015,17,DX_9_4019,0.30649426976197475
MED_ALLOPURINOL,medication,16464,25,DX_10_M109,0.2793974732750243
MED_PIPERACILLIN_TAZOBACTAM,medication,16264,25,DX_9_4019,0.18187407771765862
MED_LEVOFLOXACIN,medication,16256,20,DX_9_4019,0.2591043307086614
MED_DIAZEPAM,medication,16244,13,DX_9_4019,0.24088894360994828
MED_POTASSIUM_PHOSPHATE,medication,16186,16,DX_9_4019,0.22883973804522426
MED_LEVETIRACETAM,medication,16116,16,DX_10_I10,0.2147555224621494
MED_LIDOCAINE_1_FOR_PICC_MIDLINE_INSERTIONS,medication,15886,25,DX_10_E785,0.3350749087246632
MED_LOSARTAN_POTASSIUM,medication,15874,25,DX_10_E785,0.3520221746251732
MED_ZOLPIDEM_TARTRATE,medication,15817,13,DX_9_4019,0.31497755579439846
MED_SERTRALINE,medication,15737,17,DX_10_F329,0.26701404333735784
MED_QUETIAPINE_FUMARATE,medication,15713,17,DX_10_E785,0.19232482657671993
MED_LABETALOL,medication,15559,14,DX_10_I10,0.22642843370396554
MED_FLUTICASONE_PROPIONATE_NASAL,medication,15546,23,DX_10_E785,0.23517303486427377
MED_ATENOLOL,medication,15094,14,DX_9_4019,0.504902610308732
MED_CARVEDILOL,medication,15046,25,DX_10_E785,0.31184367938322477
MED_SPIRONOLACTONE,medication,14923,25,DX_10_E785,0.23272800375259667
MED_METRONIDAZOLE,medication,14833,25,DX_10_E785,0.3465246410031686
MED_IPRATROPIUM_ALBUTEROL_NEB,medication,14798,25,DX_10_E785,0.3846465738613326
MED_POTASSIUM_CHLORIDE_REPLACEMENT_CRITICAL_CARE_AND_ONCOLOGY,medication,14790,25,DX_10_E785,0.3226504394861393
MED_DEXTROSE_5,medication,14693,25,DX_10_E785,0.32042469203021845
MED_TRAMADOL,medication,14611,25,DX_10_E785,0.4322086099514065
MED_NICOTINE_PATCH,medication,14582,13,DX_9_3051,0.327321355095323
MED_SODIUM_BICARBONATE,medication,14560,25,DX_10_E872,0.20473901098901098
MED_MULTIVITAMINS_W_MINERALS,medication,14479,25,DX_10_E785,0.2907659368740935
MED_HEPARIN_FLUSH_100_UNITS_ML,medication,14440,17,DX_10_I10,0.23081717451523545
MED_PHOSPHORUS,medication,14316,23,DX_10_I10,0.26452919810002795
MED_AZITHROMYCIN,medication,14255,24,DX_10_E785,0.22735882146615222
MED_TORSEMIDE,medication,14167,25,DX_10_E785,0.39853179925178234
MED_TRAMADOL_ULTRAM,medication,14083,19,DX_9_4019,0.39863665412199106
MED_CLONAZEPAM,medication,14072,13,DX_10_F419,0.2187322342239909
MED_CYANOCOBALAMIN,medication,13791,21,DX_10_E785,0.24073671234863317
MED_DEXAMETHASONE,medication,13766,12,DX_10_I10,0.19787883190469271
MED_ACYCLOVIR,medication,13459,13,DX_10_I10,0.190504495133368
MED_HALOPERIDOL,medication,13355,22,DX_9_4019,0.19805316360913516
MED_SARNA_LOTION,medication,13270,14,DX_10_E785,0.16895252449133383
MED_AMIODARONE,medication,13194,25,DX_9_42731,0.3967712596634834
MED_APIXABAN,medication,13157,25,DX_10_E785,0.49631374933495476
MED_NOREPINEPHRINE,medication,13083,25,DX_10_E785,0.26270733012306047
MED_NITROGLYCERIN,medication,13063,20,DX_10_E785,0.30934701064074105
MED_CITALOPRAM,medication,13014,16,DX_10_F329,0.2350545566313201
MED_PHYTONADIONE,medication,12988,25,DX_9_42731,0.1881736987988913
MED_CIPROFLOXACIN_IV,medication,12854,13,DX_9_4019,0.25805196825890775
MED_LIDOCAINE_1,medication,12841,24,DX_9_4019,0.19172961607351452
MED_NITROGLYCERIN_SL,medication,12753,23,DX_9_41401,0.3824982357092449
MED_PRAVASTATIN,medication,12146,22,DX_10_E785,0.3226576650749218
MED_DOCUSATE_SODIUM_LIQUID,medication,11989,22,DX_9_4019,0.37801317874718493
MED_ENOXAPARIN_PROPHYLAXIS,medication,11973,24,DX_10_I10,0.365489016954815
MED_1_2_NS,medication,11957,17,DX_9_4019,0.40143848791502884
MED_MIRTAZAPINE,medication,11956,20,DX_10_E785,0.2105219136835062
MED_INSULIN_HUMAN_REGULAR,medication,11784,23,DX_10_E785,0.2960794297352342
MED_ISOSORBIDE_MONONITRATE_EXTENDED_RELEASE,medication,11718,25,DX_10_E785,0.3100358422939068
MED_GUAIFENESIN,medication,11434,25,DX_10_E785,0.24182263424873185
MED_ROSUVASTATIN_CALCIUM,medication,11329,25,DX_10_E785,0.41398181657692645
MED_0_45_SODIUM_CHLORIDE,medication,11325,18,DX_9_4019,0.30931567328918325
MED_POTASSIUM_CHLORIDE_POWDER,medication,11320,25,DX_9_4019,0.23948763250883393
MED_SYRINGE,medication,11213,16,DX_9_4019,0.26826005529296354
MED_LIDOCAINE_JELLY_2_GLYDO,medication,11178,25,DX_10_E785,0.4270889246734657
MED_TIOTROPIUM_BROMIDE,medication,11049,25,DX_10_J449,0.27450448004344286
MED_FLUTICASONE_PROPIONATE_110MCG,medication,10779,25,DX_9_4019,0.2488171444475369
MED_SULFAMETH_TRIMETHOPRIM_DS,medication,10752,17,DX_9_4019,0.24888392857142858
MED_SODIUM_PHOSPHATE,medication,10683,24,DX_10_I10,0.22334550219975663
MED_FLUOXETINE,medication,10407,13,DX_10_F329,0.24435476121841068
MED_FLUTICASONE_SALMETEROL_DISKUS_250_50,medication,10371,25,DX_9_4019,0.23006460322051875
MED_HYDROMORPHONE,medication,10277,13,DX_10_I10,0.22691446920307481
MED_BENZONATATE,medication,9950,24,DX_10_E785,0.24582914572864323
MED_OXYCODONE_ACETAMINOPHEN_5MG_325MG,medication,9817,11,DX_9_4019,0.26892125904044006
MED_MIDAZOLAM,medication,9768,25,DX_9_51881,0.27436527436527436
MED_ONDANSETRON_ODT,medication,9710,11,DX_10_I10,0.15829042224510814
MED_LOPERAMIDE,medication,9639,20,DX_10_E785,0.19701213818860877
PROC_9_3893,procedure,9485,25,DX_9_4019,0.3726937269372694
PROC_10_02HV33Z,procedure,9412,25,DX_10_E785,0.3638971525711857
MED_LIDOCAINE_JELLY_2_UROJET,medication,9255,25,DX_9_4019,0.3097784981091302
MED_METFORMIN_GLUCOPHAGE,medication,9223,17,DX_9_25000,0.4014962593516209
MED_AMPICILLIN_SULBACTAM,medication,9144,8,DX_9_4019,0.21828521434820647
MED_METHYLPREDNISOLONE_SODIUM_SUCC,medication,9144,15,DX_9_4019,0.17421259842519685
MED_HYDROXYZINE,medication,9131,12,DX_10_F419,0.22582411564998356
MED_SULFAMETH_TRIMETHOPRIM_SS,medication,9080,15,DX_9_4019,0.1697136563876652
MED_SODIUM_CHLORIDE_NASAL,medication,9065,21,DX_10_E785,0.19977937120794265
MED_READI_CAT_2_BARIUM_SULFATE_2_SUSPENSION,medication,9061,14,DX_9_4019,0.20671007615053527
MED_ALTEPLASE_CATHETER_CLEARANCE,medication,8986,25,DX_10_E785,0.21021589138660138
MED_LATANOPROST_0_005_OPHTH_SOLN,medication,8972,23,DX_10_E785,0.2862238074008025
MED_ARTIFICIAL_TEARS,medication,8739,20,DX_10_E785,0.22805813022084906
MED_FINASTERIDE,medication,8668,25,DX_10_E785,0.29672358098754037
MED_DILTIAZEM,medication,8516,23,DX_9_42731,0.4289572569281353
MED_SYRINGE_0_9_SODIUM_CHLORIDE,medication,8358,25,DX_10_E785,0.2276860492940895
MED_GLYCOPYRROLATE,medication,8165,25,DX_9_41401,0.3453766074709124
MED_ASCORBIC_ACID,medication,8091,25,DX_10_E785,0.22160425163762204
MED_LANSOPRAZOLE_ORAL_DISINTEGRATING_TAB,medication,8072,25,DX_10_E785,0.2132061446977205
MED_NEPHROCAPS,medication,8045,25,DX_9_5856,0.4599129894344313
MED_OXYCODONE_SR_OXYCONTIN,medication,8002,17,DX_9_4019,0.2369407648087978
MED_VALSARTAN,medication,7957,20,DX_9_4019,0.41460349377906247
MED_FLUCONAZOLE,medication,7948,15,DX_9_4019,0.19778560644187218
MED_AMOXICILLIN_CLAVULANIC_ACID,medication,7914,12,DX_10_E785,0.1983826130907253
MED_MICONAZOLE_POWDER_2,medication,7856,25,DX_9_4019,0.24732688391038696
MED_OLANZAPINE,medication,7846,16,DX_10_E785,0.18518990568442517
MED_NYSTATIN_ORAL_SUSPENSION,medication,7763,17,DX_9_4019,0.22117737987891278
MED_ALBUMIN_25_12_5G_50ML,medication,7709,25,DX_9_78959,0.2114411726553379
MED_NALOXONE,medication,7671,10,DX_9_V270,0.2699778386129579
MED_DEXMEDETOMIDINE,medication,7623,25,DX_10_E785,0.3023743932834842
MED_DILTIAZEM_EXTENDED_RELEASE,medication,7568,21,DX_9_4019,0.3070824524312896
MED_SEVELAMER_CARBONATE,medication,7541,25,DX_10_N186,0.36878398090438935
MED_MEROPENEM,medication,7525,25,DX_10_E785,0.18232558139534882
MED_TACROLIMUS,medication,7412,25,DX_10_E785,0.18888289260658392
MED_SUCRALFATE,medication,7332,18,DX_9_4019,0.1992635024549918
PROC_9_8938,procedure,7313,6,DX_9_4019,0.2764939149459866
MED_D5NS,medication,7201,10,DX_9_4019,0.21760866546313012
MED_RIFAXIMIN,medication,7118,25,DX_10_K766,0.2936218038774937
MED_CYCLOBENZAPRINE,medication,7114,12,DX_10_I10,0.186533595726736
MED_OLANZAPINE_DISINTEGRATING_TABLET,medication,7090,25,DX_9_4019,0.2212976022566996
MED_DIGOXIN,medication,7032,25,DX_9_42731,0.5008532423208191
MED_INFLUENZA_VACCINE_HIGH_DOSE_QUADRIVALENT,medication,7012,25,DX_10_E785,0.5771534512264689
MED_CLINDAMYCIN,medication,6935,6,DX_9_4019,0.19048305695746215
PROC_9_3897,procedure,6626,25,DX_9_4019,0.39843042559613645
MED_CALCITRIOL,medication,6608,25,DX_10_E785,0.2546912832929782
MED_ACETAMINOPHEN_LIQUID,medication,6546,16,DX_10_I10,0.1877482432019554
PROC_9_8856,procedure,6536,25,DX_9_41401,0.7981946144430845
MED_CEPHALEXIN,medication,6500,13,DX_9_4019,0.24707692307692308
MED_VANCOMYCIN_ORAL_LIQUID,medication,6484,25,DX_9_00845,0.2661937075879087
MED_PREGABALIN,medication,6434,17,DX_10_I10,0.23904258626049113
MED_ESCITALOPRAM_OXALATE,medication,6414,16,DX_10_F329,0.28656064858122854
MED_CEPACOL_SORE_THROAT_LOZENGE,medication,6409,25,DX_10_E785,0.3839912622874083
MED_ALPRAZOLAM,medication,6390,17,DX_9_4019,0.25023474178403754
MED_BUPROPION_SUSTAINED_RELEASE,medication,6243,17,DX_9_311,0.2513214800576646
MED_LAMOTRIGINE,medication,6134,15,DX_10_F419,0.15960221715030976
MED_PROMETHAZINE,medication,6130,7,DX_9_4019,0.18482871125611747
MED_DULOXETINE,medication,6093,17,DX_9_4019,0.2555391432791728
MED_CLONIDINE,medication,6055,17,DX_9_4019,0.18761354252683732
MED_ACETAMINOPHEN_CAFF_BUTALBITAL,medication,6041,13,DX_9_4019,0.17646085085250787
PROC_10_3E0G76Z,procedure,6006,25,DX_10_E785,0.36247086247086246
MED_SCOPOLAMINE_PATCH,medication,6006,17,DX_10_I10,0.21195471195471197
MED_MYCOPHENOLATE_MOFETIL,medication,5965,21,DX_9_4019,0.1953059513830679
MED_DOXYCYCLINE_HYCLATE,medication,5892,22,DX_10_E785,0.23676171079429736
MED_CHLORASEPTIC_THROAT_SPRAY,medication,5869,12,DX_10_I10,0.2054864542511501
MED_DIBUCAINE,medication,5854,11,DX_9_V270,0.9335497096002733
MED_HYDROCORTISONE_NA_SUCC,medication,5792,25,DX_10_E785,0.16764502762430938
PROC_9_966,procedure,5709,25,DX_9_4019,0.4161849710982659
MED_MAALOX_DIPHENHYDRAMINE_LIDOCAINE,medication,5650,18,DX_9_4019,0.2031858407079646
MED_URSODIOL,medication,5639,18,DX_9_4019,0.17378967902110304
MED_ALBUMIN_5_12_5G_250ML,medication,5612,25,DX_10_D62,0.33428367783321455
MED_VENLAFAXINE_XR,medication,5607,15,DX_10_F329,0.24237560192616373
MED_OXYTOCIN,medication,5523,18,DX_10_Z370,0.6127104834329169
PROC_9_3995,procedure,5500,25,DX_9_5856,0.8485454545454545
MED_IPRATROPIUM_BROMIDE_MDI,medication,5475,25,DX_9_4019,0.2801826484018265
MED_ACETYLCYSTEINE_20,medication,5448,19,DX_9_4019,0.22687224669603523
MED_D5LR,medication,5428,14,DX_10_I10,0.21904937361827562
MED_MIDODRINE,medication,5406,25,DX_10_E785,0.23307436182019978
MED_MORPHINE_SR_MS_CONTIN,medication,5402,15,DX_9_4019,0.24009626064420586
MED_OXYCODONE_LIQUID,medication,5324,14,DX_10_I10,0.1985349361382419
MED_GUAIFENESIN_DEXTROMETHORPHAN,medication,5167,23,DX_10_E785,0.23688794271337332
MED_SODIUM_POLYSTYRENE_SULFONATE,medication,5136,25,DX_9_2767,0.39700155763239875
MED_FEXOFENADINE,medication,5127,17,DX_9_4019,0.31402379559196414
MED_LORATADINE,medication,5110,19,DX_10_E785,0.2894324853228963
MED_VASOPRESSIN,medication,5096,25,DX_10_R6521,0.34183673469387754
PROC_9_0040,procedure,5077,25,DX_9_41401,0.6436872168603506
MED_MORPHINE_SULFATE_IR,medication,5036,14,DX_9_4019,0.2549642573471009
PROC_9_9671,procedure,5020,25,DX_9_51881,0.4370517928286853
MED_PANTOPRAZOLE_SODIUM,medication,4991,18,DX_9_4019,0.36686034862752953
MED_DERMOPLAST_SPRAY,medication,4979,17,DX_10_Z370,0.7670214902590882
MED_TETANUS_DIPHTOX_ACELLULAR_PERTUSS_ADACEL,medication,4949,11,DX_9_V270,0.7747019599919176
MED_NICARDIPINE_IV,medication,4943,19,DX_10_I10,0.34897835322678533
MED_MAGNESIUM_CITRATE,medication,4852,15,DX_9_4019,0.21063478977741137
MED_MONTELUKAST,medication,4837,20,DX_10_K219,0.3752325821790366
MED_ATROPINE_SULFATE,medication,4834,20,DX_9_41401,0.613156805957799
MED_RIVAROXABAN,medication,4774,25,DX_10_E785,0.4038542103058232
PROC_9_8952,procedure,4721,8,DX_9_4019,0.37830968015251004
MED_CITALOPRAM_HYDROBROMIDE,medication,4700,19,DX_9_4019,0.36446808510638296
MED_AMITRIPTYLINE,medication,4672,12,DX_9_4019,0.24165239726027396
MED_ALBUMIN_5_25G_500ML,medication,4645,25,DX_9_4019,0.381270182992465
MED_CETIRIZINE,medication,4634,17,DX_10_K219,0.30319378506689687
MED_MOVIPREP,medication,4623,25,DX_10_D62,0.30045425048669694
MED_PAROXETINE,medication,4619,17,DX_9_4019,0.2801472180125568
MED_MEPERIDINE,medication,4597,15,DX_9_4019,0.33500108766586906
MED_FENTANYL_PATCH,medication,4596,20,DX_9_4019,0.23781549173194083
MED_BACLOFEN,medication,4566,18,DX_10_I10,0.21638195356986423
MED_METHADONE,medication,4546,19,DX_9_4019,0.1636603607567092
MED_CEFTAZIDIME,medication,4436,25,DX_10_E785,0.3034265103697024
MED_FISH_OIL_OMEGA_3,medication,4401,20,DX_9_2724,0.32492615314701206
MED_GUAIFENESIN_ER,medication,4398,25,DX_10_E785,0.3658481127785357
MED_CEPACOL_MENTHOL,medication,4373,16,DX_9_4019,0.36839698147724675
MED_EPOETIN_ALFA,medication,4359,25,DX_9_5856,0.4728148657949071
MED_DONEPEZIL,medication,4321,25,DX_9_4019,0.2830363341819023
MED_CODEINE_SULFATE,medication,4295,9,DX_9_V270,0.7464493597206053
MED_NEOSTIGMINE,medication,4290,25,DX_9_41401,0.6207459207459207
MED_COLCHICINE,medication,4276,24,DX_10_E785,0.2165575304022451
PROC_9_9604,procedure,4231,25,DX_9_51881,0.552588040652328
MED_RISPERIDONE,medication,4228,12,DX_9_4019,0.19418164616840114
MED_MUPIROCIN_OINTMENT_2,medication,4215,25,DX_10_E785,0.5041518386714117
MED_CEFPODOXIME_PROXETIL,medication,4211,24,DX_10_E785,0.2379482308240323
MED_METOLAZONE,medication,4208,25,DX_9_4280,0.3612167300380228
MED_CAPTOPRIL,medication,4154,17,DX_9_4019,0.2821376986037554
MED_FLUTICASONE_SALMETEROL_DISKUS_500_50,medication,4154,25,DX_9_4019,0.23423206547905634
PROC_9_3722,procedure,4143,25,DX_9_41401,0.8414192614047792
MED_BUPIVACAINE_0_1,medication,4140,10,DX_9_4019,0.22318840579710145
MED_FERRIC_GLUCONATE,medication,4098,25,DX_10_E785,0.3689604685212299
PROC_10_10E0XZZ,procedure,4090,21,DX_10_Z370,0.9784841075794621
MED_OXYBUTYNIN,medication,4076,17,DX_9_4019,0.25564278704612364
MED_TIZANIDINE,medication,4076,13,DX_10_I10,0.18056918547595682
MED_ATOVAQUONE_SUSPENSION,medication,4067,23,DX_10_I10,0.23457093680845834
MED_TOPIRAMATE_TOPAMAX,medication,4061,20,DX_10_K219,0.1696626446688008
MED_POTASSIUM_CHL_20_MEQ_1000_ML_NS,medication,4039,9,DX_9_4019,0.3458776924981431
PROC_9_8744,procedure,4023,6,DX_9_4019,0.37708177976634355
MED_NIFEDIPINE_CR,medication,4008,20,DX_9_4019,0.3992015968063872
MED_HEPARIN_DWELL_1000_UNITS_ML,medication,3983,25,DX_10_N186,0.47351242781822744
MED_EZETIMIBE,medication,3955,25,DX_10_E785,0.34690265486725663
MED_ARIPIPRAZOLE,medication,3930,16,DX_10_F329,0.20763358778625954
MED_DEXTROSE_10_IN_WATER_D10W,medication,3902,25,DX_10_Z20822,0.6027678113787801
PROC_10_0BH17EZ,procedure,3843,25,DX_10_J9601,0.49102263856362216
MED_ISOSORBIDE_DINITRATE,medication,3841,25,DX_10_E785,0.4009372559229367
MED_INSULIN_GLARGINE_CVICU_PROTOCOL,medication,3798,25,DX_10_D62,0.739073196419168
MED_HYDROCODONE_ACETAMINOPHEN,medication,3793,11,DX_9_4019,0.3743738465594516
MED_NADOLOL,medication,3778,25,DX_9_5715,0.27316040232927474
PROC_10_5A1221Z,procedure,3774,25,DX_10_D62,0.7334393216746158
MED_OCTREOTIDE_ACETATE,medication,3728,25,DX_10_K766,0.30042918454935624
PROC_9_4513,procedure,3705,25,DX_9_4019,0.357085020242915
MED_NEOMYCIN_POLYMYXIN_BACITRACIN,medication,3705,25,DX_10_N186,0.28825910931174087
PROC_9_9925,procedure,3691,20,DX_9_V5811,0.5556759685722027
MED_SYRINGE_ISO_OSMOTIC_DEXTROSE,medication,3681,25,DX_10_D62,0.7288780222765553
PROC_10_0DJ08ZZ,procedure,3680,25,DX_10_D62,0.4652173913043478
MED_NS_MINI_BAG_PLUS,medication,3653,18,DX_9_4019,0.32055844511360526
MED_BRIMONIDINE_TARTRATE_0_15_OPHTH,medication,3650,24,DX_10_E785,0.25726027397260276
PROC_9_0066,procedure,3644,25,DX_9_41401,0.9390779363336992
MED_CREON_12,medication,3589,25,DX_10_I10,0.26219002507662303
MED_SODIUM_CHLORIDE,medication,3564,23,DX_10_I10,0.3409090909090909
PROC_9_3961,procedure,3563,25,DX_9_41401,0.707830479932641
MED_CALCIUM_ACETATE,medication,3509,25,DX_9_5856,0.43374180678255914
PROC_9_7569,procedure,3470,10,DX_9_V270,0.985878962536023
PROC_9_3899,procedure,3429,12,DX_9_4019,0.40186643336249633
MED_AMPICILLIN_SODIUM,medication,3404,14,DX_9_V270,0.14659224441833138
MED_EPINEPHRINE,medication,3374,25,DX_10_D62,0.34973325429756963
MED_LIDOCAINE_VISCOUS_2,medication,3334,17,DX_10_I10,0.18626274745050989
MED_HEPARIN_FLUSH_1000_UNITS_ML,medication,3306,25,DX_10_E872,0.24470659407138537
MED_DOXAZOSIN,medication,3270,21,DX_9_4019,0.25779816513761467
