token,namespace,count
MED_CHOLESTYRAMINE,medication,135
DX_9_V0251,diagnosis,135
DX_9_71536,diagnosis,133
DX_9_30390,diagnosis,133
DX_9_0414,diagnosis,132
DX_10_T45515A,diagnosis,130
MED_AQUAPHOR_OINTMENT,medication,129
MED_INSULIN_PUMP_SELF_ADMINISTERING_MEDICATION,medication,129
DX_9_25002,diagnosis,128
DX_9_04111,diagnosis,126
DX_9_78909,diagnosis,125
DX_9_E8498,diagnosis,125
MED_HYDROCERIN,medication,122
DX_9_30393,diagnosis,121
DX_9_99812,diagnosis,120
DX_9_20280,diagnosis,119
MED_NS_0_9_NACL,medication,118
DX_9_30301,diagnosis,117
DX_9_99811,diagnosis,117
DX_9_65961,diagnosis,116
DX_9_V1052,diagnosis,116
MED_CALCIUM_REPLACEMENT_ONCOLOGY,medication,115
DX_9_9971,diagnosis,113
DX_9_E9320,diagnosis,109
DX_10_Z9119,diagnosis,109
DX_9_65421,diagnosis,108
DX_9_57420,diagnosis,107
DX_9_V8541,diagnosis,107
DX_9_0088,diagnosis,106
DX_9_5589,diagnosis,106
DX_9_66331,diagnosis,105
DX_9_64511,diagnosis,104
DX_10_Z6837,diagnosis,104
DX_9_99674,diagnosis,103
MED_MULTIVITAMINS_W_MINERALS_CHEWABLE,medication,103
MED_PANCRELIPASE_5000,medication,103
DX_9_71596,diagnosis,103
DX_10_Z6833,diagnosis,102
DX_9_56211,diagnosis,102
DX_9_43411,diagnosis,101
DX_9_43491,diagnosis,101
MED_EPIDURAL_BAG,medication,101
MED_BLUE_CADD_CASSETTE,medication,100
DX_9_25062,diagnosis,99
DX_10_Z6832,diagnosis,99
DX_9_4263,diagnosis,98
DX_9_33818,diagnosis,97
DX_9_V422,diagnosis,97
DX_9_30501,diagnosis,97
DX_9_78829,diagnosis,96
DX_9_0413,diagnosis,96
DX_9_6930,diagnosis,94
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5LR,medication,94
DX_9_49392,diagnosis,93
DX_9_5781,diagnosis,93
DX_9_71941,diagnosis,93
DX_9_6827,diagnosis,92
DX_10_T82868A,diagnosis,91
DX_9_0417,diagnosis,91
DX_9_44023,diagnosis,91
DX_9_V427,diagnosis,91
DX_9_2869,diagnosis,90
MED_AMINO_ACIDS_5_DEXTROSE_15,medication,90
DX_10_Z6835,diagnosis,90
DX_9_45341,diagnosis,90
DX_9_V851,diagnosis,89
DX_9_V850,diagnosis,88
DX_9_71946,diagnosis,88
DX_9_66401,diagnosis,88
DX_9_6961,diagnosis,88
DX_9_07032,diagnosis,88
DX_10_C8339,diagnosis,87
DX_9_2536,diagnosis,87
DX_9_30590,diagnosis,86
DX_9_65971,diagnosis,85
DX_10_Z6834,diagnosis,85
DX_10_T814XXA,diagnosis,85
DX_9_71945,diagnosis,85
DX_9_30550,diagnosis,85
DX_10_Z6836,diagnosis,85
DX_9_29570,diagnosis,84
DX_10_Z6838,diagnosis,84
DX_9_5680,diagnosis,83
DX_9_51919,diagnosis,83
MED_D5W_EXCEL_BAG,medication,82
DX_9_30401,diagnosis,81
DX_9_04112,diagnosis,81
DX_10_Z6822,diagnosis,81
MED_AMP,medication,81
DX_9_E8786,diagnosis,81
DX_9_E9352,diagnosis,80
DX_10_Z6831,diagnosis,80
DX_9_25061,diagnosis,79
DX_9_20500,diagnosis,79
DX_9_3694,diagnosis,78
MED_PROTAMINE_SULFATE,medication,78
DX_10_Z6839,diagnosis,77
DX_9_33819,diagnosis,77
DX_9_25051,diagnosis,76
DX_9_8730,diagnosis,76
DX_9_41189,diagnosis,76
DX_9_43820,diagnosis,75
DX_10_Z86010,diagnosis,75
DX_9_70714,diagnosis,75
MED_SYRINGE_SW,medication,75
DX_9_25541,diagnosis,75
MED_300_MCG_VIAL,medication,75
DX_10_Z6829,diagnosis,74
DX_9_30520,diagnosis,74
MED_NS_SYRINGE_INTRAPLEURAL,medication,74
DX_9_25001,diagnosis,73
DX_10_W1839XA,diagnosis,73
DX_10_Z6821,diagnosis,73
DX_10_Z6830,diagnosis,73
MED_POTASSIUM_CHL_40_MEQ_1000_ML_D5NS,medication,73
MED_AEROGEN_SYRINGE_SW,medication,71
DX_9_41402,diagnosis,70
DX_10_Z6820,diagnosis,70
DX_9_V1551,diagnosis,69
DX_10_F10229,diagnosis,69
DX_9_49322,diagnosis,68
DX_10_O34211,diagnosis,68
DX_9_7919,diagnosis,68
DX_9_3331,diagnosis,68
DX_9_79431,diagnosis,67
DX_9_E9478,diagnosis,67
DX_10_W109XXA,diagnosis,67
DX_9_6823,diagnosis,67
DX_9_7905,diagnosis,66
DX_9_55321,diagnosis,66
DX_10_Z6824,diagnosis,66
DX_9_99749,diagnosis,66
MED_SYRINGE_INTRAPERITONEAL,medication,66
DX_10_Z6825,diagnosis,65
DX_9_99672,diagnosis,65
MED_VIAFLEX_BAG,medication,65
DX_9_03842,diagnosis,64
DX_9_V6441,diagnosis,64
DX_9_E8495,diagnosis,64
MED_DIVALPROEX_SOD_SPRINKLES,medication,64
DX_9_3079,diagnosis,63
DX_9_V1749,diagnosis,63
DX_9_9982,diagnosis,63
DX_9_8052,diagnosis,62
DX_10_Z6823,diagnosis,62
DX_9_4550,diagnosis,62
DX_9_73679,diagnosis,62
DX_9_44024,diagnosis,61
DX_9_6929,diagnosis,61
DX_9_5409,diagnosis,61
MED_LAMICTAL_XR,medication,61
DX_10_T508X5A,diagnosis,61
DX_9_3558,diagnosis,61
MED_TB_SYRINGE,medication,61
MED_TRANSPLANT_SELF_MEDICATION_PROGRAM,medication,61
DX_9_07999,diagnosis,60
DX_9_5855,diagnosis,60
DX_9_57410,diagnosis,60
DX_10_S065X9A,diagnosis,59
DX_9_920,diagnosis,58
MED_TRACE_ELEMENTS,medication,58
DX_9_51189,diagnosis,58
DX_9_7318,diagnosis,58
DX_9_25042,diagnosis,57
DX_9_25041,diagnosis,57
DX_9_V4975,diagnosis,57
DX_9_73730,diagnosis,57
DX_9_20410,diagnosis,57
DX_9_72252,diagnosis,56
DX_10_Z6828,diagnosis,56
DX_10_Z6827,diagnosis,56
MED_NS_IRRIGATION_BOTTLE,medication,56
DX_9_04119,diagnosis,55
DX_10_T80211A,diagnosis,55
DX_9_V641,diagnosis,55
DX_10_S065X0A,diagnosis,55
DX_9_56089,diagnosis,55
DX_9_8054,diagnosis,54
DX_9_V0382,diagnosis,54
DX_9_0416,diagnosis,54
DX_9_64893,diagnosis,54
DX_9_70719,diagnosis,54
MED_SYRINGE_NS,medication,54
DX_9_V4972,diagnosis,54
DX_10_T368X5A,diagnosis,53
DX_9_V8542,diagnosis,53
DX_9_V1079,diagnosis,53
MED_AMINO_ACIDS_4_25_DEXTROSE_5,medication,53
DX_9_V1541,diagnosis,52
DX_9_V1006,diagnosis,52
DX_9_1749,diagnosis,52
DX_10_S2241XA,diagnosis,52
DX_9_64421,diagnosis,51
DX_9_0549,diagnosis,51
DX_10_T83511A,diagnosis,51
DX_10_Z4502,diagnosis,51
DX_9_57451,diagnosis,51
DX_9_71535,diagnosis,51
DX_10_Z6826,diagnosis,51
DX_10_T501X5A,diagnosis,51
DX_10_Z45018,diagnosis,51
DX_9_99673,diagnosis,51
MED_FAT_EMULSION_20,medication,51
DX_9_30300,diagnosis,50
DX_9_41072,diagnosis,50
DX_9_7906,diagnosis,49
DX_9_E9308,diagnosis,49
DX_9_04185,diagnosis,49
DX_9_53390,diagnosis,49
DX_9_36960,diagnosis,49
DX_9_7078,diagnosis,49
DX_9_64841,diagnosis,48
DX_10_M5136,diagnosis,48
DX_9_4940,diagnosis,48
DX_10_T8131XA,diagnosis,48
DX_9_73027,diagnosis,48
DX_9_3688,diagnosis,48
DX_9_65811,diagnosis,47
DX_9_78559,diagnosis,47
DX_9_2630,diagnosis,47
DX_9_7824,diagnosis,47
DX_9_56081,diagnosis,46
DX_9_53560,diagnosis,46
DX_9_2920,diagnosis,46
DX_10_T361X5A,diagnosis,46
DX_9_E8120,diagnosis,46
DX_9_V1009,diagnosis,46
DX_10_O134,diagnosis,46
DX_9_9975,diagnosis,45
MED_CRRT,medication,45
DX_9_9100,diagnosis,45
DX_9_4871,diagnosis,45
DX_9_25082,diagnosis,44
DX_10_Y92002,diagnosis,44
DX_9_1628,diagnosis,44
DX_10_O9989,diagnosis,44
DX_9_78093,diagnosis,44
DX_9_71595,diagnosis,43
DX_9_V4282,diagnosis,43
DX_9_87342,diagnosis,42
DX_10_T82855A,diagnosis,42
DX_9_99662,diagnosis,42
DX_9_24200,diagnosis,42
DX_9_45342,diagnosis,42
DX_9_64821,diagnosis,41
MED_THYROID,medication,41
DX_9_7842,diagnosis,41
DX_9_04186,diagnosis,41
DX_10_T426X5A,diagnosis,41
DX_9_53190,diagnosis,41
DX_9_4571,diagnosis,41
MED_ADDERALL_XR,medication,41
DX_9_4556,diagnosis,40
DX_10_Y92018,diagnosis,40
DX_9_82021,diagnosis,40
MED_BENGAY_CREAM,medication,40
DX_9_25052,diagnosis,40
DX_10_S2242XA,diagnosis,40
DX_9_9972,diagnosis,40
MED_GELCLAIR,medication,40
DX_10_S0101XA,diagnosis,40
DX_9_7244,diagnosis,39
DX_9_66111,diagnosis,39
DX_9_3371,diagnosis,39
DX_9_2731,diagnosis,39
DX_9_07030,diagnosis,39
DX_9_64231,diagnosis,39
DX_9_78703,diagnosis,39
DX_9_2572,diagnosis,39
DX_9_59010,diagnosis,39
DX_9_57450,diagnosis,39
DX_9_E9444,diagnosis,39
DX_9_24290,diagnosis,39
DX_10_W06XXXA,diagnosis,38
DX_9_E915,diagnosis,38
DX_10_T424X5A,diagnosis,38
DX_10_F0281,diagnosis,38
DX_9_V8543,diagnosis,38
DX_9_44022,diagnosis,38
DX_10_T827XXA,diagnosis,38
DX_10_Y92003,diagnosis,37
MED_MEASLES_MUMPS_RUBELLA_VAC,medication,37
DX_10_S0081XA,diagnosis,37
DX_9_99659,diagnosis,37
DX_9_43330,diagnosis,37
DX_9_V8536,diagnosis,37
DX_9_6824,diagnosis,37
DX_10_O411230,diagnosis,37
DX_9_85221,diagnosis,37
MED_HEPATITIS_B_VACCINE,medication,36
DX_9_64811,diagnosis,36
DX_10_T783XXA,diagnosis,36
DX_10_S0990XA,diagnosis,36
DX_9_8670,diagnosis,36
MED_BICTEGRAV_EMTRICIT_TENOFOV_ALA,medication,36
DX_9_V140,diagnosis,36
DX_10_T43595A,diagnosis,36
DX_9_4588,diagnosis,36
DX_10_Z5331,diagnosis,36
DX_9_1991,diagnosis,36
DX_9_99664,diagnosis,36
DX_10_S066X9A,diagnosis,36
MED_FACTOR_8_RECOMBINANT,medication,36
MED_STERILE_DILUENT_FOR_REMODULIN,medication,36
DX_9_8600,diagnosis,35
DX_9_5178,diagnosis,35
DX_10_Z6844,diagnosis,35
DX_10_R402362,diagnosis,35
DX_10_R402142,diagnosis,35
DX_10_S066X0A,diagnosis,35
DX_9_V8532,diagnosis,35
MED_BICITRA,medication,35
DX_9_45381,diagnosis,34
DX_10_T502X5A,diagnosis,34
DX_9_5185,diagnosis,34
DX_9_34550,diagnosis,34
DX_9_25070,diagnosis,34
MED_AMINO_ACIDS_4_25_DEXTROSE_10,medication,34
MED_NS_EPIDURAL_BAG_0_9_NACL,medication,33
DX_9_V8537,diagnosis,33
MED_HEMORRHOIDAL_SUPPOSITORY,medication,33
